iter	Passed	Remaining
0	213	106315
1	225	56210
2	238	39447
3	250	31071
4	262	26033
5	275	22680
6	287	20260
7	300	18453
8	312	17072
9	325	15953
10	337	15014
11	349	14228
12	362	13562
13	374	12993
14	386	12490
15	398	12068
16	411	11688
17	423	11348
18	436	11039
19	448	10756
20	460	10499
21	472	10276
22	486	10096
23	499	9899
24	511	9712
25	522	9532
26	533	9350
27	543	9159
28	552	8975
29	561	8803
30	571	8642
31	580	8492
32	590	8353
33	599	8218
34	609	8093
35	618	7972
36	627	7858
37	637	7748
38	646	7645
39	656	7544
40	665	7449
41	674	7360
42	684	7276
43	693	7192
44	703	7113
45	712	7033
46	721	6956
47	731	6884
48	739	6803
49	747	6726
50	755	6652
51	763	6580
52	771	6508
53	779	6441
54	788	6376
55	796	6312
56	804	6252
57	812	6192
58	820	6133
59	828	6075
60	836	6020
61	844	5966
62	852	5913
63	860	5862
64	868	5812
65	877	5769
66	885	5721
67	890	5659
68	899	5616
69	907	5573
70	915	5530
71	923	5489
72	931	5448
73	939	5407
74	947	5368
75	955	5330
76	963	5292
77	971	5254
78	978	5216
79	986	5181
80	994	5145
81	1002	5110
82	1010	5076
83	1018	5043
84	1026	5010
85	1034	4979
86	1042	4948
87	1050	4917
88	1058	4887
89	1066	4857
90	1074	4829
91	1082	4800
92	1090	4772
93	1098	4744
94	1106	4718
95	1114	4692
96	1123	4665
97	1130	4639
98	1138	4612
99	1146	4584
100	1154	4559
101	1162	4534
102	1169	4509
103	1178	4485
104	1186	4462
105	1194	4438
106	1201	4414
107	1209	4391
108	1217	4368
109	1225	4345
110	1233	4323
111	1241	4301
112	1249	4279
113	1257	4257
114	1265	4237
115	1273	4215
116	1281	4194
117	1289	4173
118	1297	4152
119	1305	4133
120	1313	4114
121	1328	4115
122	1347	4131
123	1358	4118
124	1369	4109
125	1379	4093
126	1384	4065
127	1393	4051
128	1401	4032
129	1409	4012
130	1417	3993
131	1425	3975
132	1434	3957
133	1442	3938
134	1450	3920
135	1458	3902
136	1466	3884
137	1474	3867
138	1482	3849
139	1490	3832
140	1499	3817
141	1507	3800
142	1513	3779
143	1521	3762
144	1530	3745
145	1538	3731
146	1546	3714
147	1558	3707
148	1569	3696
149	1578	3683
150	1592	3679
151	1602	3667
152	1612	3656
153	1622	3645
154	1636	3642
155	1649	3636
156	1657	3620
157	1665	3604
158	1673	3588
159	1681	3573
160	1689	3557
161	1697	3542
162	1705	3526
163	1710	3504
164	1718	3489
165	1727	3474
166	1735	3460
167	1743	3445
168	1752	3433
169	1761	3418
170	1769	3403
171	1777	3389
172	1785	3374
173	1793	3360
174	1801	3345
175	1809	3330
176	1817	3315
177	1824	3301
178	1832	3286
179	1840	3272
180	1848	3258
181	1856	3244
182	1864	3229
183	1874	3219
184	1882	3205
185	1890	3192
186	1898	3178
187	1906	3164
188	1914	3150
189	1922	3136
190	1930	3123
191	1938	3109
192	1943	3090
193	1950	3077
194	1958	3064
195	1966	3050
196	1975	3037
197	1982	3024
198	1990	3011
199	1998	2998
200	2006	2985
201	2014	2972
202	2022	2959
203	2030	2946
204	2038	2933
205	2046	2921
206	2054	2908
207	2062	2896
208	2071	2883
209	2079	2871
210	2087	2858
211	2092	2842
212	2100	2829
213	2107	2817
214	2115	2804
215	2123	2792
216	2132	2780
217	2140	2768
218	2148	2756
219	2156	2744
220	2164	2732
221	2172	2720
222	2180	2708
223	2189	2697
224	2197	2685
225	2205	2673
226	2213	2661
227	2222	2651
228	2231	2640
229	2241	2631
230	2250	2620
231	2258	2609
232	2266	2597
233	2274	2585
234	2282	2574
235	2290	2562
236	2298	2551
237	2307	2539
238	2315	2528
239	2323	2517
240	2331	2505
241	2339	2494
242	2347	2482
243	2355	2471
244	2363	2459
245	2371	2448
246	2379	2437
247	2387	2425
248	2395	2414
249	2403	2403
250	2411	2392
251	2419	2381
252	2427	2370
253	2433	2356
254	2440	2345
255	2448	2334
256	2457	2323
257	2464	2312
258	2473	2301
259	2480	2289
260	2488	2279
261	2497	2269
262	2505	2258
263	2512	2245
264	2520	2234
265	2526	2222
266	2534	2211
267	2542	2200
268	2550	2190
269	2555	2176
270	2562	2165
271	2570	2154
272	2578	2144
273	2586	2133
274	2594	2123
275	2602	2112
276	2610	2101
277	2618	2091
278	2623	2078
279	2631	2067
280	2636	2054
281	2644	2044
282	2652	2034
283	2660	2023
284	2668	2013
285	2676	2003
286	2685	1992
287	2693	1982
288	2701	1972
289	2706	1959
290	2714	1949
291	2722	1939
292	2730	1929
293	2738	1918
294	2746	1908
295	2754	1898
296	2760	1887
297	2768	1876
298	2776	1866
299	2781	1854
300	2789	1844
301	2794	1831
302	2802	1821
303	2810	1811
304	2818	1801
305	2826	1791
306	2834	1781
307	2841	1771
308	2849	1761
309	2857	1751
310	2866	1741
311	2873	1731
312	2878	1719
313	2886	1709
314	2894	1700
315	2902	1690
316	2910	1680
317	2918	1670
318	2926	1660
319	2934	1650
320	2943	1641
321	2951	1631
322	2958	1621
323	2966	1611
324	2974	1601
325	2982	1591
326	2990	1581
327	2998	1572
328	3006	1562
329	3013	1552
330	3020	1542
331	3025	1530
332	3033	1521
333	3041	1511
334	3049	1502
335	3057	1492
336	3066	1482
337	3073	1473
338	3079	1462
339	3087	1453
340	3095	1443
341	3103	1433
342	3109	1423
343	3116	1413
344	3122	1402
345	3127	1392
346	3135	1382
347	3143	1373
348	3151	1363
349	3159	1353
350	3165	1343
351	3173	1334
352	3178	1323
353	3185	1313
354	3193	1304
355	3201	1295
356	3207	1284
357	3213	1274
358	3221	1265
359	3227	1255
360	3235	1245
361	3244	1236
362	3252	1227
363	3259	1217
364	3267	1208
365	3272	1198
366	3277	1187
367	3285	1178
368	3291	1168
369	3298	1159
370	3304	1149
371	3313	1139
372	3318	1129
373	3324	1120
374	3332	1110
375	3337	1100
376	3345	1091
377	3353	1082
378	3358	1072
379	3366	1063
380	3373	1053
381	3380	1044
382	3388	1035
383	3393	1025
384	3401	1016
385	3407	1006
386	3415	997
387	3423	988
388	3431	979
389	3436	969
390	3444	960
391	3451	951
392	3458	941
393	3462	931
394	3470	922
395	3478	913
396	3484	903
397	3492	895
398	3500	886
399	3508	877
400	3514	867
401	3520	858
402	3528	849
403	3536	840
404	3544	831
405	3552	822
406	3560	813
407	3568	804
408	3576	795
409	3584	786
410	3592	777
411	3597	768
412	3602	758
413	3610	749
414	3617	741
415	3625	732
416	3633	723
417	3641	714
418	3649	705
419	3657	696
420	3665	687
421	3674	679
422	3681	670
423	3690	661
424	3698	652
425	3706	643
426	3710	634
427	3718	625
428	3726	616
429	3734	607
430	3742	599
431	3748	590
432	3756	581
433	3762	572
434	3770	563
435	3778	554
436	3786	545
437	3794	537
438	3799	528
439	3807	519
440	3815	510
441	3823	501
442	3831	492
443	3839	484
444	3847	475
445	3855	466
446	3862	457
447	3869	449
448	3878	440
449	3886	431
450	3891	422
451	3899	414
452	3907	405
453	3912	396
454	3920	387
455	3928	379
456	3934	370
457	3939	361
458	3947	352
459	3955	343
460	3963	335
461	3971	326
462	3979	318
463	3984	309
464	3989	300
465	3995	291
466	4003	282
467	4009	274
468	4017	265
469	4025	256
470	4032	248
471	4040	239
472	4048	231
473	4053	222
474	4058	213
475	4066	205
476	4074	196
477	4081	187
478	4090	179
479	4098	170
480	4106	162
481	4111	153
482	4118	144
483	4126	136
484	4134	127
485	4142	119
486	4150	110
487	4158	102
488	4166	93
489	4173	85
490	4178	76
491	4186	68
492	4194	59
493	4202	51
494	4207	42
495	4215	33
496	4223	25
497	4231	16
498	4239	8
499	4247	0
