Battery_ID,Cycle_Index,Operation_Type,Ambient_Temperature,Discharge_Cycle_Index,Capacity_Ahr
B0005,1,charge,24,,
B0005,2,discharge,24,1.0,1.8564874208181574
B0005,3,charge,24,,
B0005,4,discharge,24,2.0,1.846327249719927
B0005,5,charge,24,,
B0005,6,discharge,24,3.0,1.8353491942234077
B0005,7,charge,24,,
B0005,8,discharge,24,4.0,1.8352625275821128
B0005,9,charge,24,,
B0005,10,discharge,24,5.0,1.8346455082120419
B0005,11,charge,24,,
B0005,12,discharge,24,6.0,1.8356616600675495
B0005,13,charge,24,,
B0005,14,discharge,24,7.0,1.8351461429226603
B0005,15,charge,24,,
B0005,16,discharge,24,8.0,1.8257567905665537
B0005,17,charge,24,,
B0005,18,discharge,24,9.0,1.8247738529891333
B0005,19,charge,24,,
B0005,20,discharge,24,10.0,1.824613268496936
B0005,21,charge,24,,
B0005,22,discharge,24,11.0,1.8246195526864504
B0005,23,charge,24,,
B0005,24,charge,24,,
B0005,25,discharge,24,12.0,1.8142019357673917
B0005,26,charge,24,,
B0005,27,discharge,24,13.0,1.8137521577549054
B0005,28,charge,24,,
B0005,29,discharge,24,14.0,1.8134404914735822
B0005,30,charge,24,,
B0005,31,discharge,24,15.0,1.8025980036306504
B0005,32,charge,24,,
B0005,33,discharge,24,16.0,1.80210690024615
B0005,34,charge,24,,
B0005,35,discharge,24,17.0,1.802579500826209
B0005,36,charge,24,,
B0005,37,discharge,24,18.0,1.8030683142834096
B0005,38,charge,24,,
B0005,39,discharge,24,19.0,1.8027776247196041
B0005,40,charge,24,,
B0005,41,impedance,24,,
B0005,42,discharge,24,20.0,1.8470259949329193
B0005,43,impedance,24,,
B0005,44,charge,24,,
B0005,45,impedance,24,,
B0005,46,discharge,24,21.0,1.847417311283644
B0005,47,impedance,24,,
B0005,48,charge,24,,
B0005,49,impedance,24,,
B0005,50,discharge,24,22.0,1.8361774213478947
B0005,51,impedance,24,,
B0005,52,charge,24,,
B0005,53,impedance,24,,
B0005,54,discharge,24,23.0,1.8257807475776242
B0005,55,impedance,24,,
B0005,56,charge,24,,
B0005,57,impedance,24,,
B0005,58,discharge,24,24.0,1.8251136435078368
B0005,59,impedance,24,,
B0005,60,charge,24,,
B0005,61,impedance,24,,
B0005,62,discharge,24,25.0,1.8255815042203762
B0005,63,impedance,24,,
B0005,64,charge,24,,
B0005,65,impedance,24,,
B0005,66,discharge,24,26.0,1.8140311275083907
B0005,67,impedance,24,,
B0005,68,charge,24,,
B0005,69,impedance,24,,
B0005,70,discharge,24,27.0,1.8147691941158939
B0005,71,impedance,24,,
B0005,72,charge,24,,
B0005,73,impedance,24,,
B0005,74,discharge,24,28.0,1.813969388710352
B0005,75,impedance,24,,
B0005,76,charge,24,,
B0005,77,impedance,24,,
B0005,78,discharge,24,29.0,1.802765665167823
B0005,79,impedance,24,,
B0005,80,charge,24,,
B0005,81,impedance,24,,
B0005,82,discharge,24,30.0,1.804077040117352
B0005,83,impedance,24,,
B0005,84,charge,24,,
B0005,85,charge,24,,
B0005,86,discharge,24,31.0,1.8518025516704486
B0005,87,impedance,24,,
B0005,88,charge,24,,
B0005,89,impedance,24,,
B0005,90,discharge,24,32.0,1.8307038456739428
B0005,91,impedance,24,,
B0005,92,charge,24,,
B0005,93,impedance,24,,
B0005,94,discharge,24,33.0,1.8199041089501267
B0005,95,impedance,24,,
B0005,96,charge,24,,
B0005,97,impedance,24,,
B0005,98,discharge,24,34.0,1.8093079637028517
B0005,99,impedance,24,,
B0005,100,charge,24,,
B0005,101,impedance,24,,
B0005,102,discharge,24,35.0,1.80460990458052
B0005,103,impedance,24,,
B0005,104,charge,24,,
B0005,105,impedance,24,,
B0005,106,discharge,24,36.0,1.7993770651972192
B0005,107,impedance,24,,
B0005,108,charge,24,,
B0005,109,impedance,24,,
B0005,110,discharge,24,37.0,1.7884432335370462
B0005,111,impedance,24,,
B0005,112,charge,24,,
B0005,113,impedance,24,,
B0005,114,discharge,24,38.0,1.7829230484252723
B0005,115,impedance,24,,
B0005,116,charge,24,,
B0005,117,impedance,24,,
B0005,118,discharge,24,39.0,1.7730337158018288
B0005,119,impedance,24,,
B0005,120,charge,24,,
B0005,121,impedance,24,,
B0005,122,discharge,24,40.0,1.773037755078937
B0005,123,impedance,24,,
B0005,124,charge,24,,
B0005,125,impedance,24,,
B0005,126,discharge,24,41.0,1.7678721106662054
B0005,127,impedance,24,,
B0005,128,charge,24,,
B0005,129,impedance,24,,
B0005,130,discharge,24,42.0,1.7623150704093087
B0005,131,impedance,24,,
B0005,132,charge,24,,
B0005,133,impedance,24,,
B0005,134,discharge,24,43.0,1.7676172924938447
B0005,135,charge,24,,
B0005,136,discharge,24,44.0,1.762668359743147
B0005,137,impedance,24,,
B0005,138,charge,24,,
B0005,139,impedance,24,,
B0005,140,discharge,24,45.0,1.7517304870664143
B0005,141,impedance,24,,
B0005,142,charge,24,,
B0005,143,impedance,24,,
B0005,144,discharge,24,46.0,1.7418496047960008
B0005,145,impedance,24,,
B0005,146,charge,24,,
B0005,147,impedance,24,,
B0005,148,discharge,24,47.0,1.7360913511847138
B0005,149,charge,24,,
B0005,150,discharge,24,48.0,1.7936240148573608
B0005,151,impedance,24,,
B0005,152,charge,24,,
B0005,153,impedance,24,,
B0005,154,discharge,24,49.0,1.7831890223273275
B0005,155,impedance,24,,
B0005,156,charge,24,,
B0005,157,impedance,24,,
B0005,158,discharge,24,50.0,1.7673642076278957
B0005,159,impedance,24,,
B0005,160,charge,24,,
B0005,161,impedance,24,,
B0005,162,discharge,24,51.0,1.7570177850353066
B0005,163,impedance,24,,
B0005,164,charge,24,,
B0005,165,impedance,24,,
B0005,166,discharge,24,52.0,1.7468706179837907
B0005,167,impedance,24,,
B0005,168,charge,24,,
B0005,169,impedance,24,,
B0005,170,discharge,24,53.0,1.7417172507457144
B0005,171,impedance,24,,
B0005,172,charge,24,,
B0005,173,impedance,24,,
B0005,174,discharge,24,54.0,1.7364225056478186
B0005,175,impedance,24,,
B0005,176,charge,24,,
B0005,177,impedance,24,,
B0005,178,discharge,24,55.0,1.7263217239235826
B0005,179,impedance,24,,
B0005,180,charge,24,,
B0005,181,impedance,24,,
B0005,182,discharge,24,56.0,1.7158065389330133
B0005,183,impedance,24,,
B0005,184,charge,24,,
B0005,185,impedance,24,,
B0005,186,discharge,24,57.0,1.710533351135192
B0005,187,impedance,24,,
B0005,188,charge,24,,
B0005,189,impedance,24,,
B0005,190,discharge,24,58.0,1.706014499648521
B0005,191,impedance,24,,
B0005,192,charge,24,,
B0005,193,impedance,24,,
B0005,194,discharge,24,59.0,1.7003110272642588
B0005,195,impedance,24,,
B0005,196,charge,24,,
B0005,197,impedance,24,,
B0005,198,discharge,24,60.0,1.6945798601797895
B0005,199,impedance,24,,
B0005,200,charge,24,,
B0005,201,impedance,24,,
B0005,202,discharge,24,61.0,1.6849029086609286
B0005,203,impedance,24,,
B0005,204,charge,24,,
B0005,205,impedance,24,,
B0005,206,discharge,24,62.0,1.6744741591159717
B0005,207,impedance,24,,
B0005,208,charge,24,,
B0005,209,impedance,24,,
B0005,210,discharge,24,63.0,1.6745692479879102
B0005,211,impedance,24,,
B0005,212,charge,24,,
B0005,213,impedance,24,,
B0005,214,discharge,24,64.0,1.663716375981405
B0005,215,charge,24,,
B0005,216,discharge,24,65.0,1.659013868748246
B0005,217,impedance,24,,
B0005,218,charge,24,,
B0005,219,impedance,24,,
B0005,220,discharge,24,66.0,1.6538540573335014
B0005,221,impedance,24,,
B0005,222,charge,24,,
B0005,223,impedance,24,,
B0005,224,discharge,24,67.0,1.642653782130131
B0005,225,impedance,24,,
B0005,226,charge,24,,
B0005,227,impedance,24,,
B0005,228,discharge,24,68.0,1.6378578430223698
B0005,229,impedance,24,,
B0005,230,charge,24,,
B0005,231,impedance,24,,
B0005,232,discharge,24,69.0,1.6327350407099108
B0005,233,impedance,24,,
B0005,234,charge,24,,
B0005,235,impedance,24,,
B0005,236,discharge,24,70.0,1.6277528915533617
B0005,237,impedance,24,,
B0005,238,charge,24,,
B0005,239,impedance,24,,
B0005,240,discharge,24,71.0,1.622125485521159
B0005,241,impedance,24,,
B0005,242,charge,24,,
B0005,243,impedance,24,,
B0005,244,discharge,24,72.0,1.6113256603765849
B0005,245,impedance,24,,
B0005,246,charge,24,,
B0005,247,impedance,24,,
B0005,248,discharge,24,73.0,1.6065631397488385
B0005,249,impedance,24,,
B0005,250,charge,24,,
